"","X","Latitude","Longitude","Agreement","Year1","Year2","site","Window","Corr_Thres","fin"
"1",1,14.1509,38.8504,0,2009,2011,"Bethans","Early",0,-0.5
"2",2,14.107,38.963,0,2009,2011,"DebreGenetA","Early",0,0
"3",3,14.158,38.961,0,2009,2011,"EndaBagerima","Early",0,0
"4",4,14.23,39.015,0,2009,2010,"Gendebta","Early",0,0
"5",5,14.0524,38.9571,0,2009,2012,"MariamShewito","Early",0,0
"6",6,14.204,38.8843,0.5,2003,2009,"Seloda","Early",0,0
"7",7,14.0784,38.9704,0,2009,2012,"TahtayLegomti","Early",0,0
"8",8,14.2475,38.878,0.5,2003,2009,"Wedikeshi","Early",0,0
"9",9,14.19138333,39.07198333,0.5,2002,2009,"Adiyikoro","Early",0,0
"10",10,14.2262,39.08181667,0.5,2002,2009,"Adizata","Early",0,0
"11",11,14.36085,39.10301667,0.5,2009,2010,"Betgebez","Early",0,0
"12",12,14.27076667,39.08091,0,2009,2010,"LaelayMegariaTsemri","Early",0,0
"13",13,14.2793,39.17853333,0,2009,2010,"Maysuru","Early",0,0
"14",14,14.32078333,39.22411667,0,2009,2010,"Sero","Early",0,0
"15",15,14.21841667,39.11961667,0.5,2002,2009,"TahtayDaeroka","Early",0,0
"16",16,14.30111667,39.07828333,0,2009,2010,"TahtayMegariaTsebri","Early",0,0
"17",17,12.527198,39.651575,0,2008,2009,"Gerjale","Early",0,0
"18",18,12.447477,39.65574,0,2008,2009,"KuluGizeLemlem","Early",0,0
"19",19,12.466214,39.650299,0,2008,2009,"LaelayDayu","Early",0,0
"20",20,12.398839,39.657985,0.5,2008,2009,"Limaat","Early",0,0
"21",21,12.414739,39.659153,0.5,2008,2009,"SelamBekalsi","Early",0,0
"22",22,12.358934,39.657374,0.5,2008,2009,"SelenWuha","Early",0,0
"23",23,13.81893333,39.72011667,0.5,2002,2008,"BarkaAdiswha","Early",0,0
"24",24,13.9,39.742,0,2008,2009,"FelegeWayane","Early",0,0
"25",25,13.87976667,39.73488333,0.5,2002,2008,"Golgolemalee","Early",0,0
"26",26,13.81136667,39.6867,0.5,2002,2008,"Habees","Early",0,0
"27",27,13.94443333,39.72905,0.5,2002,2008,"RubaFelege","Early",0,0
"28",28,13.8,39.5,0.5,2002,2011,"AbrahaAtsbaha","Early",0,0
"29",29,13.82423333,39.61081667,0.5,2002,2011,"AdiKisandid","Early",0,0
"30",30,13.75331667,39.54968333,0.5,2002,2011,"Aynalem","Early",0,0
"31",31,13.78058333,39.58768333,0.5,2002,2011,"Genfel","Early",0,0
"32",32,13.69048333,39.55716667,0,2008,2011,"MahbereWeyane","Early",0,0
"33",33,13.87613333,39.59755,0.5,2002,2008,"Nagash","Early",0,0.5
"34",34,13.733,39.087,0.5,2009,2010,"AdiHa","Early",0,0
"35",35,13.7,38.9,0,2009,2012,"Atakilti","Early",0,0
"36",36,13.744,39.136,0.5,2009,2010,"AwetBikalsi","Early",0,0
"37",37,13.62643333,38.92838333,0,2009,2012,"Begashek","Early",0,0
"38",38,13.6,39,0,2009,2012,"DebreGenetK","Early",0,0
"39",39,13.69308333,38.89091667,0,2009,2012,"Menji","Early",0,0
"40",40,12.42191667,39.67775,0.5,2008,2009,"AdisKigni","Early",0,0
"41",41,12.43026667,39.742,0,2008,2009,"Bala","Early",0,0
"42",42,12.86883333,39.67121667,0,2008,2009,"Ebo","Early",0,0
"43",43,12.8383,39.716,0,2008,2009,"Hawelti","Early",0,0
"44",44,12.5342,39.73416667,0,2008,2009,"Korme","Early",0,0
"45",45,12.76645,39.811,0,2008,2009,"Mechare","Early",0,0
"46",46,12.79798333,39.65126667,0,2008,2009,"Tsigea","Early",0,0
"47",47,12.44273333,39.80076667,0,2008,2009,"Ulaga","Early",0,0
"48",48,14.2107,39.61543333,0.5,2002,2006,"Asmena","Early",0,0.5
"49",49,14.01175,39.59356667,0.5,2002,2009,"GuemseAgamet","Early",0,0
"50",50,14.127,39.583,0.5,2002,2004,"HadushAdi","Early",0,0
"51",51,14.2,39.6,0,2004,2006,"HadushHiwet","Early",0,0
"52",52,13.96051667,39.59608333,0,2008,2009,"Sendada","Early",0,-0.5
"53",53,14.01175,39.59356667,0.5,2002,2009,"Sinkata","Early",0,0
"54",54,13.348441,39.236951,1,2004,2009,"AdekeAla","Early",0,0
"55",55,13.308802,39.229,1,2004,2009,"AdisAlemS","Early",0,0
"56",56,13.3,39.2,1,2004,2009,"AmdiWeyane","Early",0,0
"57",57,13.28738,39.177571,1,2004,2009,"HintsaWaza","Early",0,0
"58",58,13.254226,39.242201,1,2004,2009,"MayTeklia","Early",0,0
"59",59,13.237814,39.187599,0.5,2004,2009,"MetkelLemat","Early",0,0
"60",60,13.43246667,38.96085,0,2009,2011,"Gera","Early",0,0
"61",61,13.4,39,0,2009,2011,"ImbaRufael","Early",0,0
"62",62,13.24661667,39.04156667,0.5,2008,2009,"Lemlem","Early",0,0.5
"63",63,13.19138333,38.99416667,0,2004,2009,"Mearey","Early",0,0
"64",64,14.1,39.2,0,2009,2010,"AdisAlemW","Early",0,0
"65",65,14.06666667,39.02396667,0,2005,2009,"Endachiwa","Early",0,0
"66",66,14,39.1,0.5,2005,2009,"Endagahamus","Early",0,0
"67",67,14,39.1,0.5,2005,2009,"Maekelawi","Early",0,0
"68",68,13.9,38.9,0.5,2002,2009,"MaekelSegli","Early",0,0
"69",69,14,39,0,2009,2012,"Selam","Early",0,0
"70",70,14.1509,38.8504,0.5,2008,2009,"Bethans","Late",0,0
"71",71,14.107,38.963,1,2004,2009,"DebreGenetA","Late",0,0
"72",72,14.158,38.961,0.5,2008,2009,"EndaBagerima","Late",0,0
"73",73,14.23,39.015,0.5,2008,2009,"Gendebta","Late",0,0
"74",74,14.0524,38.9571,1,2004,2009,"MariamShewito","Late",0,0
"75",75,14.204,38.8843,0.5,2008,2009,"Seloda","Late",0,0
"76",76,14.0784,38.9704,1,2004,2009,"TahtayLegomti","Late",0,0
"77",77,14.2475,38.878,1,2004,2009,"Wedikeshi","Late",0,0.5
"78",78,14.19138333,39.07198333,0.5,2008,2009,"Adiyikoro","Late",0,0
